County,Year,Total,Felony Total,Drug Felony,Violent Felony,DWI Felony,Other Felony,Misdemeanor Total,Drug Misd,DWI Misd,Property Misd,Other Misd
Niagara,2017,5146,1543,240,371,79,853,3603,479,610,1149,1365
Oneida,2017,5629,1459,328,314,57,760,4170,647,502,1488,1533
Onondaga,2017,10865,3572,513,923,189,1947,7293,1501,1073,2665,2054
Ontario,2017,1927,591,99,91,79,322,1336,158,295,463,420
Orange,2017,9566,2497,595,533,210,1159,7069,1722,1188,2054,2105
Orleans,2017,972,314,54,48,27,185,658,58,149,189,262
Oswego,2017,2597,757,84,181,52,440,1840,189,356,646,649
Otsego,2017,1071,308,45,73,26,164,763,92,180,240,251
Putnam,2017,1446,340,111,47,66,116,1106,307,413,118,268
Queens,2017,45157,16329,1861,5266,274,8928,28828,5578,1716,8547,12987
Rensselaer,2017,3431,1148,203,238,66,641,2283,353,406,695,829
Richmond,2017,9515,3401,641,868,80,1812,6114,1518,638,1656,2302
Rockland,2017,3634,1032,126,277,82,547,2602,395,608,711,888
Saratoga,2017,4276,1141,133,211,138,659,3135,467,894,839,935
Schenectady,2017,3902,1347,290,245,50,762,2555,227,258,988,1082
Schoharie,2017,461,113,11,27,15,60,348,30,55,96,167
Schuyler,2017,278,89,24,12,14,39,189,23,62,51,53
Seneca,2017,779,240,32,39,28,141,539,53,112,199,175
Steuben,2017,1933,665,149,127,58,331,1268,192,258,350,468
St. Lawrence,2017,2226,712,146,113,39,414,1514,278,275,445,516
Suffolk,2017,21252,5194,908,946,512,2828,16058,4544,2776,4103,4635
Sullivan,2017,1990,543,78,110,64,291,1447,338,325,342,442
Tioga,2017,763,226,34,38,25,129,537,110,112,113,202
Tompkins,2017,1347,312,45,71,29,167,1035,99,178,449,309
Ulster,2017,4453,1142,232,144,121,645,3311,683,724,806,1098
Unknown-NonNYS,2017,96,76,9,20,1,46,20,3,1,7,9
Warren,2017,1848,514,86,101,32,295,1334,191,261,474,408
Washington,2017,1253,373,45,54,48,226,880,155,199,180,346
Wayne,2017,1628,497,44,105,68,280,1131,118,224,304,485
Westchester,2017,13363,3981,615,1066,228,2072,9382,1776,1548,2428,3630
Wyoming,2017,808,269,43,54,38,134,539,71,180,88,200
Yates,2017,302,89,20,9,9,51,213,32,60,36,85
Albany,2016,8131,2979,635,571,161,1612,5152,735,1075,1821,1521
Allegany,2016,951,301,45,53,36,167,650,51,190,139,270
Bronx,2016,60258,18371,4543,6691,132,7005,41887,9678,1071,13630,17508
Broome,2016,5500,1701,243,425,84,949,3799,784,344,1371,1300
Cattaraugus,2016,1593,455,111,77,64,203,1138,78,296,395,369
Cayuga,2016,1374,431,51,104,38,238,943,77,173,316,377
Chautauqua,2016,3482,976,203,171,83,519,2506,337,514,752,903
Chemung,2016,2115,473,88,103,51,231,1642,235,233,724,450
Chenango,2016,847,244,41,55,12,136,603,55,97,240,211
Clinton,2016,1963,523,108,79,47,289,1440,178,386,450,426
Columbia,2016,1090,282,33,62,37,150,808,158,155,212,283
Cortland,2016,1349,421,98,78,38,207,928,123,131,352,322
Delaware,2016,979,340,94,52,20,174,639,86,144,132,277
Dutchess,2016,5099,1527,239,260,182,846,3572,570,958,1015,1029
Erie,2016,22612,6857,1016,2055,309,3477,15755,3169,1965,5294,5327
Essex,2016,720,209,40,31,22,116,511,62,148,97,204
Franklin,2016,1217,367,102,49,31,185,850,83,167,258,342
Fulton,2016,1106,359,54,71,31,203,747,58,155,241,293
Genesee,2016,1316,437,58,67,33,279,879,100,189,297,293
Greene,2016,1264,331,64,51,38,178,933,165,276,183,309
Hamilton,2016,66,13,1,4,0,8,53,8,24,6,15
Herkimer,2016,1104,239,15,34,37,153,865,59,156,339,311
Jefferson,2016,2518,640,130,113,54,343,1878,147,374,634,723
Kings,2016,70951,26480,3604,8454,305,14117,44471,10065,1531,16776,16099
Lewis,2016,410,138,37,13,23,65,272,28,80,66,98
Livingston,2016,1352,399,73,45,54,227,953,190,217,216,330
Madison,2016,1222,323,44,52,27,200,899,104,146,299,350
Monroe,2016,14909,4627,568,1196,424,2439,10282,879,1879,4098,3426
Montgomery,2016,1229,327,61,57,32,177,902,100,153,315,334
Nassau,2016,17875,5593,1132,1223,289,2949,12282,3955,2012,2957,3358
New York,2016,72859,20211,3980,4636,112,11483,52648,12331,1419,24185,14713
Niagara,2016,5308,1543,201,432,95,815,3765,500,606,1290,1369
Oneida,2016,5478,1303,311,290,57,645,4175,538,560,1580,1497
Onondaga,2016,11049,3711,581,941,206,1983,7338,1251,1134,2801,2152
Ontario,2016,1949,596,67,99,77,353,1353,107,312,502,432
Orange,2016,9185,2417,523,517,178,1199,6768,1559,1096,2054,2059
Orleans,2016,854,259,52,33,23,151,595,46,118,203,228
Oswego,2016,2779,787,122,167,57,441,1992,215,367,757,653
Otsego,2016,1143,339,67,52,37,183,804,103,184,241,276
Putnam,2016,1397,314,82,45,41,146,1083,232,446,140,265
Queens,2016,50599,18358,1930,5305,327,10796,32241,5616,1839,10364,14422
Rensselaer,2016,3449,1092,167,235,58,632,2357,331,449,704,873
Richmond,2016,10665,3747,733,970,71,1973,6918,1836,644,1936,2502
Rockland,2016,3594,1075,113,269,79,614,2519,350,597,727,845
Saratoga,2016,3784,992,177,179,127,509,2792,395,825,745,827
Schenectady,2016,4237,1381,296,327,54,704,2856,252,262,1118,1224
Schoharie,2016,577,151,8,42,21,80,426,30,93,115,188
Schuyler,2016,333,116,36,12,13,55,217,19,64,73,61
Seneca,2016,823,280,58,37,41,144,543,58,123,169,193
Steuben,2016,2025,667,126,115,83,343,1358,141,301,379,537
St. Lawrence,2016,2351,645,88,148,56,353,1706,228,301,605,572
Suffolk,2016,20721,5033,792,1025,488,2728,15688,3952,3100,4314,4322
Sullivan,2016,1835,521,74,124,61,262,1314,256,254,369,435
Tioga,2016,718,203,21,51,27,104,515,65,120,114,216
Tompkins,2016,1554,389,68,89,41,191,1165,145,263,410,347
Ulster,2016,4283,1111,212,209,113,577,3172,577,716,759,1120
Unknown-NonNYS,2016,108,80,17,28,2,33,28,3,3,14,8
Warren,2016,1824,471,85,79,40,267,1353,140,246,574,393
Washington,2016,1216,283,54,61,22,146,933,132,204,170,427
Wayne,2016,1548,416,43,65,50,258,1132,97,239,359,437
Westchester,2016,13766,4342,782,1115,224,2221,9424,1686,1732,2553,3453
Wyoming,2016,665,261,60,55,19,127,404,44,90,86,184
Yates,2016,342,105,38,13,11,43,237,20,56,52,109
Albany,2015,7886,2725,520,578,161,1466,5161,721,1174,1732,1534
Allegany,2015,819,221,34,42,38,107,598,44,137,165,252
Bronx,2015,64096,17402,4416,6406,156,6424,46694,11609,921,15892,18272
Broome,2015,5238,1597,217,415,90,875,3641,577,338,1570,1156
Cattaraugus,2015,1606,458,105,92,47,214,1148,80,278,354,436
Cayuga,2015,1401,449,68,64,28,289,952,88,194,337,333
Chautauqua,2015,3452,945,183,205,90,467,2507,252,504,819,932
Chemung,2015,2023,510,96,88,55,271,1513,211,216,585,501
Chenango,2015,817,254,52,39,18,145,563,60,105,191,207
Clinton,2015,2012,527,113,86,53,275,1485,131,352,560,442
Columbia,2015,1155,282,45,49,38,150,873,144,153,258,318
Cortland,2015,1387,384,62,71,32,219,1003,123,149,350,381
Delaware,2015,926,229,33,41,28,127,697,64,145,203,285
Dutchess,2015,4910,1472,184,323,160,805,3438,461,915,1032,1030
Erie,2015,23199,6837,886,2093,364,3494,16362,3479,1980,5207,5696
Essex,2015,635,193,36,27,19,111,442,46,133,86,177
Franklin,2015,1165,336,57,52,40,187,829,50,194,253,332
Fulton,2015,1268,395,43,69,41,242,873,61,186,297,329
Genesee,2015,1476,421,49,81,42,249,1055,118,213,352,372
Greene,2015,1296,352,76,47,44,185,944,146,316,210,272
Hamilton,2015,67,15,2,3,2,8,52,3,19,11,19
Herkimer,2015,1234,317,39,50,43,185,917,77,192,307,341
Jefferson,2015,2597,630,112,102,45,371,1967,119,345,843,660
Kings,2015,73058,25505,3980,8249,236,13040,47553,11015,1557,18130,16851
Lewis,2015,334,107,24,24,14,45,227,19,51,61,96
Livingston,2015,1337,415,61,69,52,233,922,162,229,217,314
Madison,2015,1219,332,46,57,37,192,887,80,172,289,346
Monroe,2015,15372,4619,541,1220,431,2427,10753,803,1900,4451,3599
Montgomery,2015,1192,331,56,64,28,183,861,73,125,345,318
Nassau,2015,16648,5183,817,1301,291,2774,11465,2927,2102,3187,3249
New York,2015,71697,18455,3997,4264,103,10091,53242,11515,1529,25928,14270
Niagara,2015,5061,1497,223,409,107,758,3564,359,613,1205,1387
Oneida,2015,5444,1262,269,260,85,648,4182,466,510,1765,1441
Onondaga,2015,10950,3668,576,962,172,1958,7282,1171,958,2936,2217
Ontario,2015,1973,607,76,111,81,339,1366,111,364,447,444
Orange,2015,8993,2449,516,519,235,1179,6544,1350,1117,2098,1979
Orleans,2015,756,259,40,44,20,155,497,45,102,155,195
Oswego,2015,2873,846,158,196,55,437,2027,199,372,757,699
Otsego,2015,1201,331,55,56,37,183,870,90,206,297,277
Putnam,2015,1169,276,68,47,42,119,893,185,342,122,244
Queens,2015,54132,18921,2251,5668,268,10734,35211,6145,1957,12005,15104
Rensselaer,2015,3454,1117,148,238,68,663,2337,260,454,746,877
Richmond,2015,9798,3388,714,1041,76,1557,6410,1567,546,1820,2477
Rockland,2015,3950,1221,154,293,99,675,2729,390,712,748,879
Saratoga,2015,3879,956,128,151,119,558,2923,316,715,939,953
Schenectady,2015,4317,1407,297,313,50,747,2910,286,273,1134,1217
Schoharie,2015,541,123,8,14,15,86,418,18,126,142,132
Schuyler,2015,329,98,21,11,16,50,231,18,55,74,84
Seneca,2015,746,235,29,32,40,134,511,40,124,169,178
Steuben,2015,2233,674,123,106,75,370,1559,182,312,501,564
St. Lawrence,2015,2310,671,163,115,43,350,1639,197,328,494,620
Suffolk,2015,22488,5324,787,1075,565,2897,17164,4448,3203,4665,4848
Sullivan,2015,1919,523,82,109,43,289,1396,267,292,394,443
Tioga,2015,695,192,37,29,25,101,503,71,105,102,225
Tompkins,2015,1669,390,60,72,46,212,1279,114,262,519,384
Ulster,2015,4436,1082,194,189,133,566,3354,509,776,945,1124
Unknown-NonNYS,2015,106,79,12,21,0,46,27,3,6,8,10
Warren,2015,1726,483,70,72,55,286,1243,125,258,413,447
Washington,2015,1246,342,55,53,40,194,904,128,212,177,387
Wayne,2015,1602,504,69,95,68,272,1098,84,232,332,450
Westchester,2015,13931,4243,757,1120,220,2146,9688,1841,1473,2684,3690
Wyoming,2015,683,224,42,37,27,118,459,50,114,85,210
Yates,2015,369,102,19,9,19,55,267,23,62,75,107
Albany,2014,8198,2775,579,579,140,1477,5423,879,954,1885,1705
Allegany,2014,915,296,47,68,20,161,619,50,158,172,239
Bronx,2014,72383,18620,5209,6698,185,6528,53763,15407,1321,17087,19948
Broome,2014,5570,1592,215,407,88,882,3978,542,459,1819,1158
Cattaraugus,2014,1879,571,107,125,67,272,1308,136,223,424,525
Cayuga,2014,1588,484,83,68,26,307,1104,129,217,375,383
Chautauqua,2014,3474,954,204,175,78,497,2520,239,529,776,976
Chemung,2014,2347,550,106,93,68,283,1797,237,306,660,594
Chenango,2014,987,266,50,51,19,146,721,86,100,265,270
Clinton,2014,2083,609,139,98,44,328,1474,144,271,646,413
Columbia,2014,1301,293,43,53,44,153,1008,166,217,252,373
Cortland,2014,1543,448,100,93,34,221,1095,112,179,407,397
Delaware,2014,1047,283,53,48,27,155,764,65,131,271,297
Dutchess,2014,5170,1510,208,295,173,834,3660,564,942,1048,1106
Erie,2014,25822,7446,993,2208,431,3814,18376,3791,2302,5971,6312
Essex,2014,698,245,62,42,24,117,453,46,110,93,204
Franklin,2014,1310,395,117,56,31,191,915,83,200,270,362
Fulton,2014,1286,355,27,87,43,198,931,66,189,340,336
Genesee,2014,1273,371,32,63,45,231,902,74,201,319,308
Greene,2014,1331,412,89,73,37,213,919,148,228,247,296
Hamilton,2014,66,11,0,1,2,8,55,6,24,12,13
Herkimer,2014,1173,292,30,78,34,150,881,69,190,299,323
Jefferson,2014,2604,641,117,109,51,364,1963,112,426,832,593
Kings,2014,82348,26859,4462,8569,237,13591,55489,15793,2145,18956,18595
Lewis,2014,379,129,30,26,11,62,250,18,66,54,112
Livingston,2014,1284,394,67,42,58,227,890,124,183,244,339
Madison,2014,1208,314,46,63,38,167,894,69,182,328,315
Monroe,2014,15846,4457,481,1225,407,2344,11389,852,1941,4917,3679
Montgomery,2014,1238,322,61,63,23,175,916,78,125,390,323
Nassau,2014,16359,5364,756,1300,285,3023,10995,2201,2091,3441,3262
New York,2014,79021,18593,4422,3900,121,10150,60428,14252,2000,28897,15279
Niagara,2014,5198,1528,209,450,101,768,3670,355,583,1180,1552
Oneida,2014,5427,1270,212,295,76,687,4157,418,600,1761,1378
Onondaga,2014,11259,3682,548,1002,129,2003,7577,1029,1093,3161,2294
Ontario,2014,1986,587,60,98,84,345,1399,98,368,510,423
Orange,2014,8966,2367,536,510,212,1109,6599,1300,1214,2210,1875
Orleans,2014,692,235,64,57,17,97,457,25,81,159,192
Oswego,2014,2778,816,123,149,61,483,1962,185,371,707,699
Otsego,2014,1270,366,80,63,34,189,904,86,226,304,288
Putnam,2014,1271,334,86,52,47,149,937,187,347,155,248
Queens,2014,60461,19032,2232,5671,330,10799,41429,8856,2557,13107,16909
Rensselaer,2014,3274,1044,145,250,73,576,2230,268,427,657,878
Richmond,2014,11835,3735,775,1074,56,1830,8100,2562,524,2193,2821
Rockland,2014,3970,1195,196,312,88,599,2775,452,613,781,929
Saratoga,2014,3964,964,152,164,119,529,3000,336,760,912,992
Schenectady,2014,4132,1319,284,288,45,702,2813,213,229,1066,1305
Schoharie,2014,446,97,14,17,10,56,349,43,72,106,128
Schuyler,2014,355,92,9,9,14,60,263,12,54,91,106
Seneca,2014,858,246,45,43,31,127,612,51,136,197,228
Steuben,2014,1884,527,83,94,66,284,1357,153,289,446,469
St. Lawrence,2014,2244,601,103,117,56,325,1643,171,339,535,598
Suffolk,2014,23236,5561,765,1195,511,3090,17675,4572,3110,5099,4894
Sullivan,2014,2179,606,81,122,41,362,1573,316,270,475,512
Tioga,2014,691,195,41,41,23,90,496,62,116,115,203
Tompkins,2014,1755,416,45,89,44,238,1339,80,313,599,347
Ulster,2014,4712,1384,341,255,132,656,3328,564,742,938,1084
Unknown-NonNYS,2014,112,74,15,20,0,39,38,4,4,12,18
Warren,2014,1714,447,92,73,46,236,1267,105,268,450,444
Washington,2014,1270,342,56,62,25,199,928,99,191,205,433
Wayne,2014,1660,473,34,93,69,277,1187,71,286,387,443
Westchester,2014,15194,4730,1110,1132,252,2236,10464,2157,1681,2755,3871
Wyoming,2014,738,244,32,41,28,143,494,49,128,107,210
Yates,2014,391,96,11,12,17,56,295,21,88,60,126
Albany,2013,8851,2671,526,576,138,1431,6180,1245,911,2007,2017
Allegany,2013,954,243,42,59,24,118,711,60,144,207,300
Bronx,2013,73580,18636,5927,6149,155,6405,54944,15575,1390,17714,20265
Broome,2013,5762,1671,189,427,96,959,4091,518,476,1736,1361
Cattaraugus,2013,2018,465,83,96,56,230,1553,131,263,570,589
Cayuga,2013,1664,537,107,118,32,280,1127,103,172,356,496
Chautauqua,2013,3534,876,178,199,86,413,2658,225,546,790,1097
Chemung,2013,2633,571,113,127,66,265,2062,220,349,835,658
Chenango,2013,1046,254,33,47,35,139,792,89,142,284,277
Clinton,2013,2092,651,161,125,44,321,1441,135,315,538,453
Columbia,2013,1332,329,65,84,34,146,1003,172,185,282,364
Cortland,2013,1413,371,70,52,29,220,1042,75,251,323,393
Delaware,2013,1053,275,65,56,27,127,778,78,151,235,314
Dutchess,2013,5397,1515,194,355,157,809,3882,487,918,1195,1282
Erie,2013,27879,7723,1079,2213,447,3984,20156,4017,2400,6428,7311
Essex,2013,723,217,28,45,24,120,506,41,129,119,217
Franklin,2013,1329,399,77,74,40,208,930,41,210,286,393
Fulton,2013,1271,371,46,66,36,223,900,54,188,343,315
Genesee,2013,1446,414,28,105,60,221,1032,79,207,387,359
Greene,2013,1279,401,87,75,56,183,878,113,221,235,309
Hamilton,2013,75,21,0,4,1,16,54,5,23,9,17
Herkimer,2013,1285,349,25,81,50,193,936,45,218,293,380
Jefferson,2013,2759,737,148,122,52,415,2022,96,419,806,701
Kings,2013,86522,27547,4920,9218,256,13153,58975,17229,2214,19732,19800
Lewis,2013,401,111,17,11,11,72,290,25,57,68,140
Livingston,2013,1199,325,57,46,55,167,874,125,205,229,315
Madison,2013,1142,273,25,51,37,160,869,54,189,277,349
Monroe,2013,17257,4738,585,1350,415,2388,12519,1164,1963,5058,4334
Montgomery,2013,1282,403,106,78,27,192,879,67,160,295,357
Nassau,2013,17256,5781,793,1463,267,3258,11475,2350,1916,3480,3729
New York,2013,81598,19217,5183,4014,117,9903,62381,14680,2166,29655,15880
Niagara,2013,5686,1744,270,468,112,894,3942,394,643,1247,1658
Oneida,2013,5414,1266,204,281,78,703,4148,414,620,1532,1582
Onondaga,2013,11756,3795,633,1054,166,1942,7961,969,1273,3321,2398
Ontario,2013,2250,663,88,109,106,360,1587,103,389,565,530
Orange,2013,8687,2244,480,498,192,1074,6443,1215,1040,2257,1931
Orleans,2013,848,279,41,63,27,148,569,44,129,160,236
Oswego,2013,3028,935,150,160,57,568,2093,176,350,792,775
Otsego,2013,1339,403,72,85,36,210,936,70,218,304,344
Putnam,2013,1500,331,103,47,53,128,1169,200,430,190,349
Queens,2013,60672,19576,2631,6019,340,10586,41096,8996,2632,12385,17083
Rensselaer,2013,3470,1130,167,290,67,606,2340,228,401,678,1033
Richmond,2013,11141,3560,758,1059,54,1689,7581,2357,572,1953,2699
Rockland,2013,4020,1222,223,311,89,599,2798,349,609,857,983
Saratoga,2013,3971,1018,148,181,127,562,2953,290,759,779,1125
Schenectady,2013,4570,1319,233,326,44,716,3251,198,306,1183,1564
Schoharie,2013,692,173,21,33,18,101,519,77,135,146,161
Schuyler,2013,386,116,16,20,18,62,270,8,70,87,105
Seneca,2013,797,254,55,46,27,126,543,31,134,153,225
Steuben,2013,2005,662,143,111,63,345,1343,114,313,423,493
St. Lawrence,2013,2450,713,119,140,54,400,1737,115,319,597,706
Suffolk,2013,23925,5667,723,1248,543,3153,18258,4403,3585,4999,5271
Sullivan,2013,2194,671,86,155,47,383,1523,255,230,491,547
Tioga,2013,806,220,27,44,28,121,586,59,115,141,271
Tompkins,2013,1667,389,32,95,42,220,1278,77,261,548,392
Ulster,2013,4743,1268,274,226,133,635,3475,482,794,924,1275
Unknown-NonNYS,2013,126,96,12,30,1,53,30,3,4,7,16
Warren,2013,1877,444,63,76,56,249,1433,137,282,497,517
Washington,2013,1235,342,50,89,21,182,893,84,182,202,425
Wayne,2013,1751,514,36,112,72,294,1237,71,246,403,517
Westchester,2013,16629,4922,1250,1249,232,2191,11707,2924,1675,3061,4047
Wyoming,2013,826,242,42,32,38,130,584,64,135,120,265
Yates,2013,442,113,13,12,15,73,329,24,73,69,163
Albany,2012,8999,2812,531,589,157,1535,6187,1035,933,2029,2190
Allegany,2012,1164,364,87,64,31,182,800,51,200,203,346
Bronx,2012,77368,18717,6559,6212,86,5860,58651,19375,1042,18533,19701
Broome,2012,5535,1680,200,407,104,969,3855,381,464,1568,1442
Cattaraugus,2012,1997,542,65,144,67,266,1455,64,279,482,630
Cayuga,2012,1780,561,89,106,31,335,1219,92,171,426,530
Chautauqua,2012,3625,958,190,228,101,439,2667,206,559,742,1160
Chemung,2012,2758,596,87,146,73,290,2162,189,351,827,795
Chenango,2012,1177,268,22,43,27,176,909,87,151,344,327
Clinton,2012,2129,664,147,110,65,342,1465,126,354,508,477
Columbia,2012,1261,360,34,95,42,189,901,116,175,235,375
Cortland,2012,1526,403,40,84,29,250,1123,50,253,406,414
Delaware,2012,1051,265,49,49,38,129,786,61,188,223,314
Dutchess,2012,5760,1609,226,364,151,868,4151,504,985,1213,1449
Erie,2012,27554,8154,1185,2302,507,4160,19400,3637,2367,6420,6976
Essex,2012,719,229,21,60,21,127,490,28,108,148,206
Franklin,2012,1473,436,90,82,34,230,1037,49,240,256,492
Fulton,2012,1251,363,24,69,51,219,888,41,202,263,382
Genesee,2012,1443,392,30,87,52,223,1051,85,203,359,404
Greene,2012,1319,392,65,83,51,193,927,141,238,241,307
Hamilton,2012,102,32,4,5,9,14,70,3,28,11,28
Herkimer,2012,1360,344,25,79,42,198,1016,67,219,310,420
Jefferson,2012,2974,751,110,148,70,423,2223,102,479,780,862
Kings,2012,91313,27230,5165,9496,172,12397,64083,22284,1856,19994,19949
Lewis,2012,402,104,7,17,15,65,298,11,79,72,136
Livingston,2012,1235,338,35,51,69,183,897,93,201,236,367
Madison,2012,1362,275,34,59,38,144,1087,90,226,326,445
Monroe,2012,18404,4948,591,1352,425,2580,13456,1318,2032,5381,4725
Montgomery,2012,1212,356,67,55,40,194,856,66,144,269,377
Nassau,2012,17905,5904,879,1573,272,3180,12001,2137,2098,3884,3882
New York,2012,84987,19577,4858,4449,111,10159,65410,17104,1858,30148,16300
Niagara,2012,5548,1606,192,435,127,852,3942,362,669,1144,1767
Oneida,2012,6020,1394,241,279,105,769,4626,637,634,1671,1684
Onondaga,2012,12071,4120,613,1100,231,2176,7951,1021,1412,3063,2455
Ontario,2012,2225,640,65,126,72,377,1585,69,340,571,605
Orange,2012,8715,2247,395,582,161,1109,6468,1009,1028,2478,1953
